id,gender,ethnicity,major,top,topOut1,topOut2,topOut3,topOut4,topOut5,topOut6,topOut7,topOut8,ae1,ae2,ae3,ae4,ae5,ae6,ae7,ae8,ae9,ae10,ae11,ae12,ae13,ae14,ae15,ae16,ae17,ae18,ae19,ae20,ae21,ae22,ae23,ae24,ae25,ae26,ae27,ae28,grit1,grit2,grit3,grit4,grit5,grit6,grit7,grit8,allReason1,allReason2,allReason3,allReason4,allReason5,allReason6,allReason7,allReason8,allReason9,allReason10,allReason11,allReason12,allReason13,allReason14
25,Man,Hispanic,CV,8_International,4,4,4,3,3,3,4,3,4,2,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,,,,,,,,,4,4,3,3,2,1,1,1,4,4,2,2,2,3
26,Man,White,General,10_Community,3,3,3,2,3,2,3,3,4,1,3,3,2,2,2,3,2,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,,,,,,,,,1,3,3,3,3,2,3,3,2,4,2,3,2,2
27,Woman,White,Elec,16_Research,4,2,3,2,2,3,3,3,4,1,4,4,2,2,2,4,1,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,3,3,2,,,,,,,,,2,3,3,3,3,2,3,2,4,3,3,2,4,1
28,Man,White,General,13_Music,3,4,4,3,4,4,3,4,3,2,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3
29,Woman,Asian,General,12_Military,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,1,4,4,4,4,4,4,4,3,3,2,4,4,4,4,3,2,2,4,4,,,,,,,,,3,4,4,4,4,4,4,4,4,4,4,4,4,1
30,Woman,"White,Native",Che,10_Community,3,2,3,2,3,2,3,3,3,2,4,3,2,2,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,3,4,4,3,3,3,2,,,,,,,,,3,3,4,3,3,2,3,3,3,3,3,3,2,3
31,Man,White,General,,,,,,,,,,3,2,3,4,2,2,2,4,2,3,3,4,3,2,4,3,2,2,3,3,3,3,2,3,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,
32,Woman,3,General,2_Culture,4,4,4,4,4,4,4,4,4,1,4,3,1,1,1,4,1,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,,,,,,,,,2,4,3,4,4,3,4,2,4,4,4,4,4,4
33,Man,Asian,General,16_Research,3,3,3,3,3,4,3,3,3,2,3,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,,,,,,,,,2,3,2,2,2,2,2,2,2,2,2,2,2,2
34,Man,White,General,,,,,,,,,,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,
35,Man,White,General,18_Sports,2,2,3,2,3,2,2,2,3,2,2,3,2,3,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,2,3,3,2,2,3,2,,,,,,,,,3,3,2,3,2,2,2,2,3,2,3,3,3,2
36,Man,White,,2_Culture,3,3,4,3,3,3,3,3,3,2,4,3,1,1,1,3,2,3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,,,,,,,,,3,3,3,4,4,2,4,3,4,3,4,4,3,3
37,Woman,White,Bldg,,,,,,,,,,3,2,3,2,2,3,3,3,2,3,3,4,3,3,4,3,2,3,2,3,3,3,1,2,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,
38,Man,Hispanic,General,18_Sports,3,3,3,2,2,3,2,4,3,1,3,3,2,2,2,3,2,3,4,4,4,4,4,4,3,4,3,3,3,3,2,3,3,3,3,3,,,,,,,,,3,3,3,3,3,3,3,1,4,2,3,4,3,1
